Cryomodule,Cavity,Tune Config,Steps to Cold Landing,DF Cold,HW Mode
16,4,1,-10289000,55638.1,0
16,5,1,-22110000,120140.25151726,0
16,6,1,-27605000,151619.44041236,0
16,7,1,-22769000,124613.77686561,0
16,8,1,-13555000,73790.663549834,2
17,1,1,-7765000,42427.86898939,0
17,2,1,-11688000,64178.121081712,0
17,3,1,-4371000,23805.931800782,0
17,4,1,-9447000,52014.787500365,0
17,5,1,-2936000,15956.241056132,0
17,6,1,-19273000,105071.97216149,0
17,7,1,-25300000,139582.55487923,3
17,8,1,-23631000,130406.6959687,3
18,1,1,-33663000,177228.24661546,0
18,2,1,-34307000,184158.60342714,0
18,3,1,-48268000,256282.34784938,0
18,4,1,-48410000,263771.18509232,0
18,5,1,-47238000,256621.26167674,0
18,6,1,-41883420,224969.79935271,0
18,7,1,-35474000,189575.57369187,0
18,8,1,-23704000,128709.02678735,0
19,1,1,-21613000,116731.96712471,0
19,2,1,-20703000,112058.69264605,0
19,3,1,-18680000,101161.2890553,0
19,4,1,-9295000,39149.610559342,0
19,5,1,-13116500,71777.455323154,0
19,6,1,-21861500,118645.66938548,0
19,7,1,-15140000,81074.472200348,0
19,8,1,-20982000,112840.56909457,0
20,1,1,-17455000,93724.697700638,0
20,2,1,-5155000,27820.245768061,0
20,3,1,-16620000,90085.102840061,0
20,4,1,-25830000,140482.36199549,0
20,5,1,-18643500,101966.22006546,0
20,6,1,-27246000,147955.54795385,0
20,7,1,-16203000,88098.087143216,0
20,8,1,-15079000,80457.945629767,0
21,1,1,-17827000,96419.197372554,0
21,2,1,-20437000,111521.58120918,0
21,3,1,-10378000,56786.066003085,0
21,4,1,-20580000,113409.36221257,0
21,5,1,-17125000,94194.161330111,0
21,6,1,-22363000,122207.37651242,0
21,7,1,-15855000,87140.746882239,0
21,8,1,-14805000,80645.476934018,0
22,1,1,-19661500,106680.50073616,0
22,2,1,-26137000,139982.00951753,0
22,3,1,-24062000,128257.98652781,0
22,4,1,-26439000,143230.60321417,0
22,5,1,-7170000,38032.195721867,0
22,6,1,-12510000,66663.493079909,0
22,7,1,-12044000,65411.459024955,0
22,8,1,-20393000,111659.90695204,0
23,1,1,-20030100,109101.95058923,0
23,2,1,-22401000,123382.74627654,0
23,3,1,-20345000,111952.95312831,0
23,4,1,-17015000,93400.446309654,0
23,5,1,-19707000,107935.94733709,0
23,6,1,-20522000,112373.67445106,0
23,7,1,-13547000,74863.044089692,0
23,8,1,0,0.0,2
24,1,0,-23890000,129662.13592463,0
24,2,1,-12330000,67330.600787987,0
24,3,1,-15455000,85206.518136536,0
24,4,1,-19330000,105096.75479409,0
24,5,1,-13625000,75041.296251087,0
24,6,1,-22939800,126115.99444235,0
24,7,1,-14400000,79471.166783496,0
24,8,1,-19930000,109401.02197655,0
25,1,1,-1940000,10375.223414677,0
25,2,3,-2737000,0.0,2
25,3,1,87500,-199.76388372213,0
25,4,1,50000,-269.5140354082,0
25,5,1,1033300,-5490.7920197183,0
25,6,1,-4524500,24275.723379303,0
25,7,1,-4810000,25941.505963984,0
25,8,1,-863000,3459.1648743706,0
26,1,1,-9678000,49048.252872583,0
26,2,1,-11117500,59153.099994895,0
26,3,1,-4889236,25719.5136387,0
26,4,1,-29747000,156034.91259471,0
26,5,1,-2176000,11185.928905879,0
26,6,1,-35120000,184941.4588577,0
26,7,1,-26770000,142267.71034368,0
26,8,1,-1054000,0.0,2
27,1,1,-31020000,168305.26015821,0
27,2,1,-46666000,227677.7314727,0
27,3,1,-38900000,213305.65181145,0
27,4,1,-45226000,247664.41632462,0
27,5,1,-35865956,195978.64696429,0
27,6,1,-35210000,191396.76019709,0
27,7,1,-35330000,193026.0,0
27,8,1,-33679000,183013.0,0
28,1,1,0,35152.0,2
28,2,1,-7910000,42991.819503413,0
28,3,1,-21128000,113026.31251554,0
28,4,1,-6625000,35637.224467697,0
28,5,1,-5762000,31065.648615577,0
28,6,1,-30191000,108258.06880963,0
28,7,1,-2358000,12589.967577564,0
28,8,1,-6562000,35219.755551921,0
29,1,1,-14745000,80717.940501313,0
29,2,1,-19715000,107627.58436374,0
29,3,1,-9940000,54579.470058772,0
29,4,1,-2580000,13925.38949279,0
29,5,1,-9760000,53487.414340448,0
29,6,1,-16950000,93516.868592113,0
29,7,1,-21520000,116610.74631267,0
29,8,1,-24525000,132413.51548069,0
30,1,1,-12342005,67671.787376969,0
30,2,1,-11789000,64917.865038909,0
30,3,1,-14690000,80016.472774464,0
30,4,1,-23131000,124869.35856563,0
30,5,1,-23920000,129511.93288625,0
30,6,1,-12646000,68291.229777011,0
30,7,1,-11688000,63637.858242687,0
30,8,1,-23155000,125224.93974681,0
31,1,1,-28597000,153954.30809764,0
31,2,1,-17375000,94071.951086796,0
31,3,1,-13847000,74906.645863932,0
31,4,1,-20422000,111997.39993932,0
31,5,1,-16947000,92648.110135643,0
31,6,1,-19902000,108324.50457829,0
31,7,1,-23790000,130551.56952802,0
31,8,1,-13130000,71886.331353544,0
32,1,1,-23770000,130140.35966891,0
32,2,1,-19490000,104892.23768416,0
32,3,1,-18194000,98294.218760366,0
32,4,1,-9825000,53297.96081065,0
32,5,1,-21270000,115715.80075033,0
32,6,1,-9057000,48817.428115586,0
32,7,1,-14372000,78452.132822232,0
32,8,1,-26066000,140825.5813913,0
33,1,1,13647000,-74756.059364633,0
33,2,1,-14457000,77546.162339003,0
33,3,1,-35810000,192131.08435248,0
33,4,1,-9575000,51865.70881277,0
33,5,1,-10960000,59194.151437248,0
33,6,1,-31660000,170322.66603085,0
33,7,1,-28650000,154066.25155668,0
33,8,3,-27065000,146338.31946637,2
34,1,1,2196000,-11892.786147625,0
34,2,1,-6250000,33823.230152332,0
34,3,1,-17538500,94793.940448277,0
34,4,1,1953000,-10790.698476419,0
34,5,1,7580000,-41038.606166184,0
34,6,1,16980000,-92724.124101524,0
34,7,1,-7509000,40850.317778434,0
34,8,1,7610000,-41321.1203588,0
35,1,1,-20520000,110997.24446882,0
35,2,1,-25508000,136894.93830333,0
35,3,1,760000,-4189.6410473126,0
35,4,1,-37225000,199414.26313488,0
35,5,1,-31040000,168403.39994736,0
35,6,1,-16435000,89732.694611554,0
35,7,3,0,0.0,2
35,8,1,-13825000,75770.41872493,0
